seed,arm,key,disease,dice,precision,recall,tp,fp,fn
2029,m2_a8_e16,train/489_N.png,N,0.8488371492066773,0.8761065251310227,0.8232140843305558,328483,46452,70542
2029,m2_a8_e16,train/8_A.png,A,0.7090726134367119,0.8174819699155161,0.6260497969051309,198362,44288,118485
2030,m2_a2_e4,train/138_A.png,A,0.594086610401714,0.67942860054694,0.5277915223486723,160000,75492,143150
2030,m2_a2_e4,train/177_D.png,D,0.811126610857696,0.8397063247002781,0.7844283047703154,273578,52224,75183
2030,m2_a2_e4,train/222_D.png,D,0.25489467473448996,0.17750587478319252,0.4519239329784014,50761,235207,61561
2030,m2_a2_e4,train/421_G.png,G,0.8015962086532937,0.8396343006455941,0.766855238581545,285343,54499,86752
2030,m2_a2_e4,train/442_G.png,G,0.5293969292047327,0.48830642735385543,0.5780382772847912,121747,127578,88874
2030,m2_a2_e4,train/453_N.png,N,0.6988293030651971,0.7285805754531994,0.6714124656906388,254891,94955,124743
2030,m2_a2_e4,train/489_N.png,N,0.8508188797122617,0.8834934950332333,0.820474907587244,327390,43173,71635
2030,m2_a2_e4,train/8_A.png,A,0.7110982700464501,0.7757738303951776,0.6563767370371189,207971,60111,108876
2030,m1_a4_e4,train/138_A.png,A,0.5973668971138104,0.6519064374936608,0.551248556820056,167111,89231,136039
2030,m1_a4_e4,train/177_D.png,D,0.8124534995192231,0.8220062920398652,0.8031201883238092,280097,60651,68664
2030,m1_a4_e4,train/222_D.png,D,0.2763912738058071,0.1903434096391209,0.504424778761062,56658,241004,55664
2030,m1_a4_e4,train/421_G.png,G,0.7998420757035695,0.8284716202478423,0.7731251427726791,287676,59561,84419
2030,m1_a4_e4,train/442_G.png,G,0.5252988234492277,0.47633137237481993,0.5854876769173064,123316,135571,87305
2030,m1_a4_e4,train/453_N.png,N,0.6990985894293489,0.6888967310834759,0.7096071479372238,269391,121656,110243
2030,m1_a4_e4,train/489_N.png,N,0.8521373672684728,0.8729255484121936,0.832316270910344,332115,48347,66910
2030,m1_a4_e4,train/8_A.png,A,0.7180047945493544,0.7687929158650901,0.6735111899434112,213400,64178,103447
2030,m4_a1_e4,train/138_A.png,A,0.609089551124057,0.7017856374510564,0.5380240804882072,163102,69308,140048
2030,m4_a1_e4,train/177_D.png,D,0.8079422596246284,0.834339842807352,0.7831638285244049,273137,54232,75624
2030,m4_a1_e4,train/222_D.png,D,0.2888248914162664,0.20441531154284362,0.49197841918769253,55260,215072,57062
2030,m4_a1_e4,train/421_G.png,G,0.7989835562230856,0.8246438449019984,0.7748720084924549,288326,61311,83769
2030,m4_a1_e4,train/442_G.png,G,0.5408482238577913,0.515457353535875,0.5688701506497453,119816,112630,90805
2030,m4_a1_e4,train/453_N.png,N,0.6777028331224398,0.6899437224002315,0.6658887244029776,252794,113604,126840
2030,m4_a1_e4,train/489_N.png,N,0.8480312057998447,0.8863403477419725,0.8128964350604598,324366,41595,74659
2030,m4_a1_e4,train/8_A.png,A,0.7150416219654442,0.7929897129149817,0.6510460884906595,206282,53850,110565
2030,m2_a1_e2,train/138_A.png,A,0.6268933435210571,0.7251046242624315,0.552112815437902,167373,63453,135777
2030,m2_a1_e2,train/177_D.png,D,0.8252634264423191,0.8548448058113701,0.7976608623097192,278193,47238,70568
2030,m2_a1_e2,train/222_D.png,D,0.3043925692104253,0.21725413485762998,0.5082441551966668,57087,205679,55235
2030,m2_a1_e2,train/421_G.png,G,0.820007897040577,0.8592872035904866,0.7841626466359397,291783,47781,80312
2030,m2_a1_e2,train/442_G.png,G,0.5639818028392963,0.5525059665871122,0.5759444689750784,121306,98250,89315
2030,m2_a1_e2,train/453_N.png,N,0.7348392614319298,0.7221022867415776,0.7480336323933051,283979,109288,95655
2030,m2_a1_e2,train/489_N.png,N,0.854956239409041,0.9014579981493677,0.8130167282751707,324414,35463,74611
2030,m2_a1_e2,train/8_A.png,A,0.7407586398903171,0.8319397138294776,0.6675903511789602,211524,42730,105323
2030,m2_a4_e8,train/138_A.png,A,0.5928194562901755,0.6731101385115873,0.5296420913739073,160561,77975,142589
2030,m2_a4_e8,train/177_D.png,D,0.815419575961661,0.8549653376278608,0.7793703997866734,271814,46110,76947
2030,m2_a4_e8,train/222_D.png,D,0.21570691812383655,0.15097933116416168,0.37758408860241094,42411,238495,69911
2030,m2_a4_e8,train/421_G.png,G,0.7876094791025015,0.8324074351222724,0.7473870920060737,278099,55991,93996
2030,m2_a4_e8,train/442_G.png,G,0.4956118249290299,0.476779384410206,0.5159931820663657,108679,119265,101942
2030,m2_a4_e8,train/453_N.png,N,0.6771207094983414,0.7287824782769738,0.632298476954119,240042,89332,139592
2030,m2_a4_e8,train/489_N.png,N,0.8470164318168368,0.8911203962478209,0.8070722385815425,322042,39348,76983
2030,m2_a4_e8,train/8_A.png,A,0.7055957690992147,0.7842157263822528,0.6413032157476637,203195,55911,113652
2030,m2_a8_e16,train/138_A.png,A,0.5262621015348288,0.6157365454746381,0.4594920006597394,139295,86930,163855
2030,m2_a8_e16,train/177_D.png,D,0.7786040922983598,0.792172455231963,0.7654927013054785,266974,70041,81787
2030,m2_a8_e16,train/222_D.png,D,0.20539657796088037,0.14222662367256864,0.3695179929132316,41505,250318,70817
2030,m2_a8_e16,train/421_G.png,G,0.7733619879839696,0.7779306594153637,0.7688466655020895,286084,81666,86011
2030,m2_a8_e16,train/442_G.png,G,0.4394417095340819,0.4269891389542045,0.4526424240697746,95336,127939,115285
2030,m2_a8_e16,train/453_N.png,N,0.6757953195812927,0.7121243946554642,0.6429929879831627,244102,98678,135532
2030,m2_a8_e16,train/489_N.png,N,0.8378929660934116,0.8605844294798467,0.8163673955265961,325751,52772,73274
